"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Retail Store","1","Resort Wear Book","0","0","Hover interaction","0"
"0","Retail Store","0","RetailStorePageLoads","1","0","Page title","0"
