"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3317","verifyRetailResortWearBook","Suite","Fri Jul 25 11:34:17 IST 2025","failed","Fri Jul 25 11:34:21 IST 2025","script.RetailResortWearBookTest","Test","script.RetailResortWearBookTest","verifyRetailResortWearBook"
"","2395","verifyRetailStorePageLoads","Suite","Fri Jul 25 11:34:13 IST 2025","passed","Fri Jul 25 11:34:16 IST 2025","script.RetailStoreTest","Test","script.RetailStoreTest","verifyRetailStorePageLoads"
